num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
20,6,[[-23.52969154]],[[-23.63818024]],[[-24.24953576]],[[-24.16454202]],4.006022578555599,"[0.70124326904402, 0.21996820463720945, 0.0, 0.07878852631904162]",0.38500653042475125,0.22011703712634687,[-0.98443815 -0.06806699 -0.00766619 -0.75235119]
50,6,[[-23.52969154]],[[-23.63818024]],[[-24.33153083]],[[-24.230236]],1.738863187618851,"[0.6909413025965793, 0.20448727004089773, 2.1986296357267708e-13, 0.10457142736230314]",0.38070437920319183,0.23162964538918812,[-0.98436996 -0.08255949 -0.00720594 -0.70039826]
100,6,[[-23.52969154]],[[-23.63818024]],[[-56.17979813]],[[-56.33512573]],7.1594256584892015,"[2.185462021517758e-14, 0.6016804820174944, 0.0, 0.3983195179825025]",0.5313544954527577,1.5073362059209596,[-0.74393388 -1.53945147 -0.03770213 -0.43424888]
200,6,[[-23.52969154]],[[-23.63818024]],[[-24.36098793]],[[-24.17374197]],2.3180637296217057,"[0.3157530307782008, 0.45465941831098783, 0.0, 0.22958755091082608]",0.19083862840928825,0.23784703503070115,[-0.9695461  -0.16080248 -0.00671164 -0.69369016]
500,6,[[-23.52969154]],[[-23.63818024]],[[-23.63926613]],[[-23.5477155]],0.1392973529147686,"[0.4533037405315731, 0.3012240888427185, 0.1534026414366292, 0.09206952918907928]",0.11604088416040978,0.028847912872426225,[-0.76301558 -0.05852882 -0.09369852 -0.78069343]
1000,6,[[-23.52969154]],[[-23.63818024]],[[-23.6695938]],[[-23.58269324]],0.28418893176885535,"[0.5461508122449517, 0.2110424804085072, 0.17111717034374785, 0.07168953700279325]",0.24727205185421228,0.05215182800055859,[-0.76927296 -0.05398884 -0.11970084 -0.76625332]
2,7,[[-23.52969154]],[[-23.63818024]],[[-24.74088578]],[[-24.72219331]],14.692306299985702,"[3.1086244689504383e-15, 0.9999999999999845, 2.2148949341271873e-14, 0.0]",0.7499999999999818,0.26359015381249773,[-0.6026497  -0.08018204 -0.08018204 -0.9741178 ]
5,7,[[-23.52969154]],[[-23.63818024]],[[-51.02019594]],[[-50.12167971]],1.6484546950658046,"[0.0, 0.08022004905995705, 0.8739824474292435, 0.04579750351079951]",0.8914975947715369,0.7353490600747044,[-0.07187984 -0.01693905 -0.26836016 -0.70817077]
10,7,[[-23.52969154]],[[-23.63818024]],[[-53.06028655]],[[-52.69232716]],0.11874893301119767,"[2.3411143845940584e-17, 0.22781384796294363, 0.7686825631342642, 0.00350358890279217]",0.7690106522955799,0.7428554031254229,[-0.07388335 -0.00400649 -0.23103352 -0.94862838]
20,7,[[-23.52969154]],[[-23.63818024]],[[-27.57996703]],[[-27.57557231]],0.22834155356537322,"[0.595336805337805, 0.03819842610466854, 0.3505913763656407, 0.015873392191885754]",0.47411358722050173,0.5396379659414386,[-0.60303952 -0.04172139 -0.58146114 -0.74321857]
50,7,[[-23.52969154]],[[-23.63818024]],[[-24.63776539]],[[-24.65613824]],1.8360570837413244,"[0.7211302876117669, 0.050415604045413134, 0.20275056210553938, 0.02570354623728052]",0.4909848691527955,0.2608758452901361,[-0.74840901 -0.05410703 -0.32241339 -0.70983553]
100,7,[[-23.52969154]],[[-23.63818024]],[[-24.20545841]],[[-24.18748166]],0.5359301573824106,"[0.6078427375878599, 0.08825800732934293, 0.2565076927796583, 0.047391562303138846]",0.3996924488530209,0.20927319953179935,[-0.705794   -0.05522211 -0.25643347 -0.70696904]
200,7,[[-23.52969154]],[[-23.63818024]],[[-23.89480092]],[[-23.7999707]],2.1050307832104562,"[0.3712274900699645, 0.26672688575307923, 0.2579214472659059, 0.10412417691105026]",0.17274608601297772,0.1448232268843546,[-0.6497059  -0.05908718 -0.1387149  -0.7506408 ]
