num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
1000,3,[[-23.52969154]],[[-23.63818024]],[[-23.83935859]],[[-23.74449655]],0.007864632213778618,"[0.5106880551390841, 0.3110965154039264, 0.054322119460857, 0.12389330999613236]",0.16580558256951958,0.125456906529848,[-0.89072417 -0.08050474 -0.03867434 -0.7403838 ]
2,4,[[-23.52969154]],[[-23.63818024]],[[-24.29230774]],[[-24.23870226]],113.80773000384495,"[0.8316947002679718, 0.14554309662627193, 0.0, 0.022762203410961922]",0.5360019466476726,0.22968224251180008,[-0.98565434 -0.03898381 -0.01189902 -0.8365801 ]
5,4,[[-23.52969154]],[[-23.63818024]],[[-24.62030096]],[[-24.59350322]],240.80791515901615,"[0.8394451442495171, 0.16055485637125388, 0.0, 0.0]",0.5412448721631534,0.2812699684408169,[-0.98537513 -0.01355527 -0.01355527 -0.94287476]
10,4,[[-23.52969154]],[[-23.63818024]],[[-24.29325654]],[[-24.17353824]],10.249863166424568,"[0.8601802537631773, 0.08439961978823665, 0.055420126453396064, 0.0]",0.5833650815944368,0.20223576179902156,[-0.90833129 -0.01927431 -0.12609277 -0.90733324]
20,4,[[-23.52969154]],[[-23.63818024]],[[-25.27538954]],[[-25.33068007]],11.402612454057422,"[0.7823523711473795, 0.030838181193627332, 0.17167729676401705, 0.015132150894976128]",0.5464732620208086,0.3275824340525389,[-0.76475309 -0.05422469 -0.39198376 -0.7085413 ]
50,4,[[-23.52969154]],[[-23.63818024]],[[-33.13687291]],[[-33.52521871]],6.616004537302657,"[0.8629214491977449, 0.0003262831219406072, 0.13675226855770087, 0.0]",0.6278621270013824,0.7977377389687915,[-0.71122114 -0.0586987  -0.86141672 -0.68138579]
100,4,[[-23.52969154]],[[-23.63818024]],[[-34.30102364]],[[-34.71429023]],24.179326771938058,"[0.8536347619013772, 0.0, 0.14636523811543647, 0.0]",0.6211261616613145,0.8475375500188758,[-0.69542965 -0.05822196 -0.91038905 -0.68178222]
200,4,[[-23.52969154]],[[-23.63818024]],[[-33.25820711]],[[-33.6688384]],49.66917779881652,"[0.8644259345067806, 0.0, 0.13557406748797446, 0.0]",0.6292054960591776,0.8024468197251486,[-0.7112618  -0.05946959 -0.86572306 -0.67751024]
500,4,[[-23.52969154]],[[-23.63818024]],[[-36.17317935]],[[-36.5854127]],44.51142419816539,"[0.8345316678427163, 0.0, 0.16546833609045455, 0.0]",0.6075006501858566,0.9231401393255013,[-0.66872004 -0.05611754 -0.98468521 -0.68890342]
1000,4,[[-23.52969154]],[[-23.63818024]],[[-37.70390799]],[[-38.11078618]],46.2353005012692,"[0.8190140916011109, 0.0, 0.18098590843135084, 0.0]",0.5971037895401798,0.9807252363230458,[-0.64816826 -0.05449874 -1.04084921 -0.69430265]
2,5,[[-23.52969154]],[[-23.63818024]],[[-24.73340879]],[[-24.73340879]],147.65758163800604,"[1.0, 0.0, 0.0, 0.0]",0.75,0.2635901538122609,[-0.9741178  -0.08018204 -0.08018204 -0.6026497 ]
5,5,[[-23.52969154]],[[-23.63818024]],[[-25.66698731]],[[-25.63872927]],29.49375298593339,"[0.9918227005706717, 0.0, 8.212400049336376e-11, 0.008177299356725034]",0.7418677694200994,0.34681419371520783,[-0.97885688 -0.10198794 -0.05610731 -0.49653835]
